Kecamatan,Ibu Kota Wilayah,Luas Wilayah (Km2),Persentase Terhadap Luas Wilayah,Jumlah Pulau
Jatiluhur,NaN,60.11,6.19,1
Sukasari,NaN,92.01,9.47,1
Maniis,NaN,71.64,7.37,1
Tegal Waru,NaN,73.23,7.54,1
Plered,NaN,31.48,3.24,1
Sukatani,NaN,95.43,9.82,1
Darangdan,NaN,67.39,6.94,1
Bojong,NaN,68.69,7.07,1
Wanayasa,NaN,56.55,5.82,1
Kiarapedes,NaN,52.16,5.37,1
Pasawahan,NaN,36.96,3.8,1
Pondok Salam,NaN,44.08,4.54,1
Purwakarta,NaN,24.83,2.56,1
Babakancikao,NaN,42.4,4.36,1
Campaka,NaN,43.6,4.49,1
Cibatu,NaN,56.5,5.81,1
Bungursari,NaN,54.66,5.63,1
