Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Jatiluhur,74,1.73,0.14,1165,101
Sukasari,17.3,1.73,0.03,174,105
Maniis,36.1,1.41,0.07,462,104
Tegal Waru,53.2,1.82,0.1,688,104
Plered,83.4,1.56,0.16,2521,103
Sukatani,76.9,1.84,0.14,762,103
Darangdan,70.9,1.68,0.14,1015,102
Bojong,53,1.65,0.1,717,106
Wanayasa,43.3,1.04,0.08,736,104
Kiarapedes,28.4,1.81,0.06,529,105
Pasawahan,49.5,1.95,0.1,1289,101
Pondok Salam,30.7,1.51,0.06,681,103
Purwakarta,179.2,0.78,0.35,7037,100
Babakancikao,59.9,3.76,0.11,1320,100
Campaka,50.3,0.57,0.09,1053,100
Cibatu,31.3,1.43,0.06,552,100
Bungursari,60.6,1.62,0.11,1031,99
